model,clip_content,clip_content_std,style_strength,clip_style,clip_style_std
baseline,0.59112548828125,0.05198242823880042,1.0,,
dreambooth_contemporaryrealism,0.568023681640625,0.05785655553264616,0.9609189468249871,0.68829345703125,0.02607615888713976
dreambooth_newrealism,0.555816650390625,0.05880279602388132,0.9402684563758389,0.69647216796875,0.04409556663172041
ti_sksstyle,0.57110595703125,0.04922745491433371,0.9661331956633971,0.67041015625,0.0441280380802502
