model,clip_content,clip_content_std,style_strength,clip_style,clip_style_std
baseline,0.59112548828125,0.05198242823880042,1.0,,
lora_actionpainting,0.58465576171875,0.06384496156286994,0.9890552400619514,0.7010498046875,0.03983365847376412
lora_analyticalcubism,0.57012939453125,0.06475249038789593,0.9644811564274651,0.71063232421875,0.08302035517457147
lora_contemporaryrealism,0.573944091796875,0.06232994757383315,0.9709344346928239,0.673095703125,0.028566539720797004
lora_newrealism,0.580169677734375,0.07260340927724156,0.9814661848218895,0.63714599609375,0.03545207492892307
lora_syntheticcubism,0.57037353515625,0.06248828658966978,0.9648941662364481,0.7373046875,0.051219516154919334
dreambooth_contemporaryrealism,0.568023681640625,0.05785655553264616,0.9609189468249871,0.68829345703125,0.02607615888713976
dreambooth_newrealism,0.555816650390625,0.05880279602388132,0.9402684563758389,0.69647216796875,0.04409556663172041
ti_sksstyle,0.57110595703125,0.04922745491433371,0.9661331956633971,0.67041015625,0.0441280380802502
